MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/01/2025 - 30/01/2025
Opening Balance,128450.00

Date,Description,Debit,Credit,Balance
01/01/2025,RENTAL PAYMENT,,19914.61,148364.61
04/01/2025,IBG TRANSFER,,8037.38,156401.99
07/01/2025,IBG TRANSFER,,14850.97,171252.96
10/01/2025,CHQ DEPOSIT,-3372.44,,167880.52
13/01/2025,SUPPLIER PAYMENT,,18388.16,186268.68
16/01/2025,RENTAL PAYMENT,-16500.17,,169768.51
19/01/2025,SUPPLIER PAYMENT,-1273.11,,168495.40
22/01/2025,RENTAL PAYMENT,-14371.48,,154123.92
25/01/2025,CUSTOMER PAYMENT,-15635.58,,138488.34
28/01/2025,SUPPLIER PAYMENT,-13047.92,,125440.42

Closing Balance,125440.42
