MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/04/2025 - 30/04/2025
Opening Balance,97019.83

Date,Description,Debit,Credit,Balance
01/04/2025,SUPPLIER PAYMENT,,5264.01,102283.84
03/04/2025,SERVICE CHARGE,-3104.10,,99179.74
05/04/2025,CUSTOMER PAYMENT,,10484.43,109664.17
07/04/2025,SUPPLIER PAYMENT,-15615.95,,94048.22
09/04/2025,SERVICE CHARGE,,1856.58,95904.80
11/04/2025,UTILITIES AUTODEBIT,-896.31,,95008.49
13/04/2025,INTEREST CREDIT,,624.07,95632.56
15/04/2025,SUPPLIER PAYMENT,-3536.71,,92095.85
17/04/2025,SUPPLIER PAYMENT,,13775.18,105871.03
19/04/2025,CASH DEPOSIT,-14725.80,,91145.23
21/04/2025,UTILITIES AUTODEBIT,,3007.86,94153.09
23/04/2025,CASH DEPOSIT,,11177.81,105330.90
25/04/2025,IBG TRANSFER,,6358.36,111689.26
27/04/2025,RENTAL PAYMENT,-13277.37,,98411.89

Closing Balance,98411.89
