MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/05/2025 - 30/05/2025
Opening Balance,98411.89

Date,Description,Debit,Credit,Balance
01/05/2025,SALARY PAYMENT,,12285.64,110697.53
03/05/2025,RENTAL PAYMENT,,19330.81,130028.34
05/05/2025,IBG TRANSFER,-16431.71,,113596.63
07/05/2025,CUSTOMER PAYMENT,,12582.83,126179.46
09/05/2025,UTILITIES AUTODEBIT,,13563.77,139743.23
11/05/2025,UTILITIES AUTODEBIT,-4395.11,,135348.12
13/05/2025,CUSTOMER PAYMENT,,5774.80,141122.92
15/05/2025,IBG TRANSFER,,13875.68,154998.60
17/05/2025,CASH DEPOSIT,,15598.71,170597.31
19/05/2025,IBG TRANSFER,,963.93,171561.24
21/05/2025,CASH DEPOSIT,-15573.22,,155988.02
23/05/2025,INTEREST CREDIT,,7885.15,163873.17
25/05/2025,RENTAL PAYMENT,-6616.18,,157256.99
27/05/2025,UTILITIES AUTODEBIT,,17481.61,174738.60

Closing Balance,174738.60
