MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/06/2025 - 30/06/2025
Opening Balance,174738.60

Date,Description,Debit,Credit,Balance
01/06/2025,UTILITIES AUTODEBIT,,19625.94,194364.54
03/06/2025,IBG TRANSFER,-11278.06,,183086.48
05/06/2025,SUPPLIER PAYMENT,,1747.72,184834.20
07/06/2025,SALARY PAYMENT,,12729.32,197563.52
09/06/2025,RENTAL PAYMENT,,11534.54,209098.06
11/06/2025,INTEREST CREDIT,-2362.01,,206736.05
13/06/2025,INTEREST CREDIT,-14776.75,,191959.30
15/06/2025,CASH DEPOSIT,-1934.23,,190025.07
17/06/2025,RENTAL PAYMENT,,17335.35,207360.42
19/06/2025,CASH DEPOSIT,,16559.38,223919.80
21/06/2025,UTILITIES AUTODEBIT,,10255.87,234175.67
23/06/2025,RENTAL PAYMENT,,9308.92,243484.59
25/06/2025,SALARY PAYMENT,,20309.25,263793.84
27/06/2025,SALARY PAYMENT,-14680.61,,249113.23

Closing Balance,249113.23
