MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/07/2025 - 30/07/2025
Opening Balance,249113.23

Date,Description,Debit,Credit,Balance
01/07/2025,CHQ DEPOSIT,,8340.67,257453.90
03/07/2025,CUSTOMER PAYMENT,,1398.51,258852.41
05/07/2025,CASH DEPOSIT,-10706.29,,248146.12
07/07/2025,RENTAL PAYMENT,-17836.26,,230309.86
09/07/2025,CUSTOMER PAYMENT,,3383.64,233693.50
11/07/2025,SALARY PAYMENT,,4653.65,238347.15
13/07/2025,SERVICE CHARGE,,9619.75,247966.90
15/07/2025,CHQ DEPOSIT,,20008.96,267975.86
17/07/2025,SERVICE CHARGE,,265.75,268241.61
19/07/2025,RENTAL PAYMENT,-2304.84,,265936.77
21/07/2025,INTEREST CREDIT,-2235.20,,263701.57
23/07/2025,CHQ DEPOSIT,,7371.58,271073.15
25/07/2025,SUPPLIER PAYMENT,-10375.62,,260697.53
27/07/2025,IBG TRANSFER,-374.93,,260322.60

Closing Balance,260322.60
