MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/08/2025 - 30/08/2025
Opening Balance,260322.60

Date,Description,Debit,Credit,Balance
01/08/2025,IBG TRANSFER,,6029.09,266351.69
04/08/2025,SALARY PAYMENT,-17990.67,,248361.02
07/08/2025,UTILITIES AUTODEBIT,,3464.75,251825.77
10/08/2025,IBG TRANSFER,,6549.49,258375.26
13/08/2025,CUSTOMER PAYMENT,,16973.30,275348.56
16/08/2025,CASH DEPOSIT,-2950.83,,272397.73
19/08/2025,CUSTOMER PAYMENT,,20218.72,292616.45
22/08/2025,IBG TRANSFER,-3433.46,,289182.99
25/08/2025,INTEREST CREDIT,-13385.86,,275797.13
28/08/2025,INTEREST CREDIT,,21724.11,297521.24

Closing Balance,297521.24
