MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/09/2025 - 30/09/2025
Opening Balance,297521.24

Date,Description,Debit,Credit,Balance
01/09/2025,IBG TRANSFER,,1353.39,298874.63
04/09/2025,UTILITIES AUTODEBIT,-12235.30,,286639.33
07/09/2025,INTEREST CREDIT,,11614.05,298253.38
10/09/2025,SALARY PAYMENT,,15154.22,313407.60
13/09/2025,SUPPLIER PAYMENT,,2653.38,316060.98
16/09/2025,SERVICE CHARGE,,20039.42,336100.40
19/09/2025,SERVICE CHARGE,-3529.90,,332570.50
22/09/2025,SERVICE CHARGE,,18565.83,351136.33
25/09/2025,IBG TRANSFER,-6076.41,,345059.92
28/09/2025,CASH DEPOSIT,,9847.87,354907.79

Closing Balance,354907.79
