MAYBANK BERHAD - CURRENT ACCOUNT STATEMENT
Account Name,LIM TRADING SDN BHD
Account No,5142 xxxx 8890
Period,01/11/2025 - 30/11/2025
Opening Balance,378661.12

Date,Description,Debit,Credit,Balance
01/11/2025,UTILITIES AUTODEBIT,,2705.55,381366.67
03/11/2025,CHQ DEPOSIT,,11240.16,392606.83
05/11/2025,INTEREST CREDIT,,13604.57,406211.40
07/11/2025,CUSTOMER PAYMENT,-7633.03,,398578.37
09/11/2025,INTEREST CREDIT,,20260.60,418838.97
11/11/2025,UTILITIES AUTODEBIT,,14342.63,433181.60
13/11/2025,UTILITIES AUTODEBIT,,20200.03,453381.63
15/11/2025,IBG TRANSFER,-14778.47,,438603.16
17/11/2025,SUPPLIER PAYMENT,-8926.17,,429676.99
19/11/2025,INTEREST CREDIT,-4490.50,,425186.49
21/11/2025,CUSTOMER PAYMENT,,6962.66,432149.15
23/11/2025,INTEREST CREDIT,,15617.42,447766.57
25/11/2025,UTILITIES AUTODEBIT,,18367.97,466134.54
27/11/2025,IBG TRANSFER,,13985.75,480120.29

Closing Balance,478880.29
